note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
TAA-B05-08.net.zhdk.ch;FVH2740L0JD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B05-08.net.zhdk.ch;FVH2740L0L4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B05-09.net.zhdk.ch;FOC2730Y1Catalyst 9;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B05-09.net.zhdk.ch;FVH2740L0J5;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B05-09.net.zhdk.ch;FOC2542Y3W4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B05-09.net.zhdk.ch;FOC2542Y5FF;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-10.net.zhdk.ch;FVH2737L8A9;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-10.net.zhdk.ch;FVH2740L0KB;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-11.net.zhdk.ch;FVH2740L0JN;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-11.net.zhdk.ch;FVH2737L89J;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-11.net.zhdk.ch;FOC2542Y5EX;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-12.net.zhdk.ch;FOC2730Y1CG;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B06-12.net.zhdk.ch;FVH2740L0JU;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B07-13.net.zhdk.ch;FOC2733Y52B;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B07-13.net.zhdk.ch;FVH2737L8B3;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B07-14.net.zhdk.ch;FVH2740L0J6;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
